Navigated to file:///Users/madelaine/Desktop/csc428-master/views/device1.html
js/task1a.js:94 Start tracking information: Task 1, Part 1, Attempt 1
js/task1a.js:102 Timestamp: 1426720583023: x:401, y:374
js/task1a.js:94 Start tracking information: Task 1, Part 2, Attempt 1
js/task1a.js:102 Timestamp: 1426720583841: x:175, y:143
js/task1a.js:94 Start tracking information: Task 1, Part 3, Attempt 1
js/task1a.js:102 Timestamp: 1426720584863: x:455, y:467
js/task1a.js:94 Start tracking information: Task 1, Part 4, Attempt 1
js/task1a.js:102 Timestamp: 1426720585647: x:201, y:187
2js/task1a.js:94 Start tracking information: Task 1, Part 5, Attempt 1
Navigated to file:///Users/madelaine/Desktop/csc428-master/views/task2a.html
js/task2a.js:153 MouseEvent {dataTransfer: null, which: 1, toElement: canvas#myCanvas.task2, fromElement: null, y: 256…}
js/task2a.js:155 Start tracking information: Task 2, Part 1, Attempt 1
js/task2a.js:181 Timestamp: 1426720588527: x:352, y:257
js/task2a.js:181 Timestamp: 1426720588552: x:353, y:257
js/task2a.js:181 Timestamp: 1426720588570: x:354, y:257
js/task2a.js:181 Timestamp: 1426720588587: x:356, y:256
js/task2a.js:181 Timestamp: 1426720588604: x:360, y:254
js/task2a.js:181 Timestamp: 1426720588621: x:367, y:253
js/task2a.js:181 Timestamp: 1426720588639: x:378, y:251
js/task2a.js:181 Timestamp: 1426720588655: x:386, y:251
js/task2a.js:181 Timestamp: 1426720588672: x:394, y:251
js/task2a.js:181 Timestamp: 1426720588690: x:400, y:251
js/task2a.js:181 Timestamp: 1426720588705: x:406, y:251
js/task2a.js:181 Timestamp: 1426720588724: x:415, y:251
js/task2a.js:181 Timestamp: 1426720588741: x:423, y:251
js/task2a.js:181 Timestamp: 1426720588758: x:430, y:251
js/task2a.js:181 Timestamp: 1426720588776: x:439, y:251
js/task2a.js:181 Timestamp: 1426720588793: x:446, y:250
js/task2a.js:181 Timestamp: 1426720588809: x:451, y:249
js/task2a.js:181 Timestamp: 1426720588826: x:456, y:249
js/task2a.js:181 Timestamp: 1426720588843: x:460, y:249
js/task2a.js:181 Timestamp: 1426720588860: x:464, y:249
js/task2a.js:181 Timestamp: 1426720588878: x:469, y:249
js/task2a.js:181 Timestamp: 1426720588895: x:472, y:249
js/task2a.js:181 Timestamp: 1426720588911: x:475, y:249
js/task2a.js:181 Timestamp: 1426720588929: x:477, y:249
js/task2a.js:181 Timestamp: 1426720588946: x:480, y:249
js/task2a.js:181 Timestamp: 1426720588963: x:484, y:249
js/task2a.js:181 Timestamp: 1426720588980: x:488, y:249
js/task2a.js:181 Timestamp: 1426720588997: x:492, y:250
js/task2a.js:181 Timestamp: 1426720589015: x:495, y:250
js/task2a.js:181 Timestamp: 1426720589033: x:496, y:250
js/task2a.js:181 Timestamp: 1426720589137: x:496, y:251
js/task2a.js:165 Stop tracking information: Task 2, Part 1 completed in 1 attempt[s].
js/task2a.js:153 MouseEvent {dataTransfer: null, which: 1, toElement: canvas#myCanvas.task2, fromElement: null, y: 252…}
js/task2a.js:155 Start tracking information: Task 2, Part 2, Attempt 1
js/task2a.js:181 Timestamp: 1426720590029: x:258, y:252
js/task2a.js:181 Timestamp: 1426720590080: x:259, y:252
js/task2a.js:181 Timestamp: 1426720590107: x:260, y:252
js/task2a.js:181 Timestamp: 1426720590124: x:265, y:252
js/task2a.js:181 Timestamp: 1426720590141: x:276, y:252
js/task2a.js:181 Timestamp: 1426720590157: x:296, y:252
js/task2a.js:181 Timestamp: 1426720590178: x:318, y:252
js/task2a.js:181 Timestamp: 1426720590190: x:343, y:252
js/task2a.js:181 Timestamp: 1426720590207: x:373, y:252
js/task2a.js:181 Timestamp: 1426720590225: x:399, y:252
js/task2a.js:181 Timestamp: 1426720590241: x:416, y:252
js/task2a.js:181 Timestamp: 1426720590258: x:425, y:252
js/task2a.js:181 Timestamp: 1426720590275: x:431, y:252
js/task2a.js:181 Timestamp: 1426720590292: x:434, y:252
js/task2a.js:181 Timestamp: 1426720590309: x:438, y:252
js/task2a.js:181 Timestamp: 1426720590326: x:441, y:252
js/task2a.js:181 Timestamp: 1426720590343: x:443, y:252
js/task2a.js:181 Timestamp: 1426720590362: x:447, y:252
js/task2a.js:181 Timestamp: 1426720590378: x:450, y:252
js/task2a.js:181 Timestamp: 1426720590394: x:454, y:252
js/task2a.js:181 Timestamp: 1426720590411: x:457, y:252
js/task2a.js:181 Timestamp: 1426720590430: x:462, y:252
js/task2a.js:181 Timestamp: 1426720590447: x:467, y:252
js/task2a.js:181 Timestamp: 1426720590464: x:472, y:252
js/task2a.js:181 Timestamp: 1426720590480: x:485, y:252
js/task2a.js:181 Timestamp: 1426720590498: x:506, y:252
js/task2a.js:181 Timestamp: 1426720590515: x:537, y:252
