Navigated to file:///Users/madelaine/Desktop/csc428-master/views/start.html
Navigated to file:///Users/madelaine/Desktop/csc428-master/views/device1.html
/Users/madelaine/Desktop/csc428-master/js/task1a.js:94 Start tracking information: Task 1, Part 1, Attempt 1
/Users/madelaine/Desktop/csc428-master/js/task1a.js:102 Timestamp: 1426721519540: x:344, y:323
/Users/madelaine/Desktop/csc428-master/js/task1a.js:94 Start tracking information: Task 1, Part 2, Attempt 1
/Users/madelaine/Desktop/csc428-master/js/task1a.js:102 Timestamp: 1426721520135: x:201, y:169
/Users/madelaine/Desktop/csc428-master/js/task1a.js:94 Start tracking information: Task 1, Part 3, Attempt 1
/Users/madelaine/Desktop/csc428-master/js/task1a.js:102 Timestamp: 1426721521025: x:436, y:463
/Users/madelaine/Desktop/csc428-master/js/task1a.js:94 Start tracking information: Task 1, Part 4, Attempt 1
/Users/madelaine/Desktop/csc428-master/js/task1a.js:102 Timestamp: 1426721521807: x:202, y:197
2/Users/madelaine/Desktop/csc428-master/js/task1a.js:94 Start tracking information: Task 1, Part 5, Attempt 1
Navigated to file:///Users/madelaine/Desktop/csc428-master/views/task2a.html
/Users/madelaine/Desktop/csc428-master/js/task2a.js:153 MouseEvent {dataTransfer: null, which: 1, toElement: canvas#myCanvas.task2, fromElement: null, y: 256…}
/Users/madelaine/Desktop/csc428-master/js/task2a.js:155 Start tracking information: Task 2, Part 1, Attempt 1
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524140: x:348, y:256
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524145: x:351, y:256
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524162: x:358, y:256
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524178: x:375, y:256
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524195: x:392, y:256
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524213: x:411, y:256
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524231: x:426, y:256
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524247: x:438, y:256
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524266: x:446, y:256
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524281: x:449, y:256
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524301: x:450, y:256
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524316: x:451, y:256
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524340: x:451, y:255
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524354: x:453, y:254
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524371: x:457, y:252
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524388: x:460, y:251
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524405: x:464, y:251
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524423: x:467, y:250
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524479: x:468, y:250
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524498: x:469, y:250
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524513: x:472, y:250
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524531: x:477, y:250
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524547: x:485, y:250
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524566: x:494, y:250
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524581: x:500, y:250
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524599: x:503, y:250
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721524616: x:504, y:250
/Users/madelaine/Desktop/csc428-master/js/task2a.js:165 Stop tracking information: Task 2, Part 1 completed in 1 attempt[s].
/Users/madelaine/Desktop/csc428-master/js/task2a.js:153 MouseEvent {dataTransfer: null, which: 1, toElement: canvas#myCanvas.task2, fromElement: null, y: 249…}
/Users/madelaine/Desktop/csc428-master/js/task2a.js:155 Start tracking information: Task 2, Part 2, Attempt 1
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525497: x:244, y:249
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525514: x:246, y:249
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525532: x:251, y:249
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525548: x:276, y:249
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525566: x:322, y:249
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525582: x:377, y:252
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525601: x:433, y:257
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525618: x:475, y:259
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525635: x:505, y:259
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525651: x:532, y:259
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525669: x:560, y:259
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525686: x:592, y:259
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525703: x:612, y:259
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525720: x:619, y:259
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525737: x:620, y:259
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525754: x:621, y:259
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525775: x:623, y:258
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525791: x:625, y:258
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525812: x:627, y:258
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525826: x:631, y:258
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525844: x:635, y:258
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525881: x:634, y:258
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525901: x:629, y:258
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525914: x:623, y:258
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525932: x:618, y:258
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525949: x:613, y:258
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525966: x:607, y:258
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721525983: x:604, y:258
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721526000: x:603, y:258
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721526019: x:602, y:258
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721526036: x:601, y:258
/Users/madelaine/Desktop/csc428-master/js/task2a.js:165 Stop tracking information: Task 2, Part 2 completed in 1 attempt[s].
/Users/madelaine/Desktop/csc428-master/js/task2a.js:153 MouseEvent {dataTransfer: null, which: 1, toElement: canvas#myCanvas.task2, fromElement: null, y: 142…}
/Users/madelaine/Desktop/csc428-master/js/task2a.js:155 Start tracking information: Task 2, Part 3, Attempt 1
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721526830: x:114, y:144
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721526850: x:123, y:149
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721526866: x:140, y:161
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721526884: x:164, y:173
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721526901: x:194, y:189
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721526919: x:223, y:205
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721526934: x:244, y:218
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721526952: x:260, y:228
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721526972: x:272, y:236
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721526987: x:285, y:245
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721527004: x:296, y:252
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721527021: x:305, y:258
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721527039: x:312, y:262
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721527053: x:316, y:264
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721527071: x:319, y:267
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721527087: x:321, y:270
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721527106: x:322, y:270
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721527130: x:322, y:271
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721527150: x:323, y:271
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721527163: x:324, y:271
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721527180: x:324, y:270
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721527200: x:323, y:267
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721527215: x:320, y:266
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721527233: x:316, y:264
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721527250: x:312, y:263
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721527269: x:310, y:262
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721527283: x:307, y:261
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721527300: x:307, y:260
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721527320: x:306, y:260
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721527350: x:305, y:260
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721527376: x:305, y:259
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721527395: x:304, y:259
/Users/madelaine/Desktop/csc428-master/js/task2a.js:165 Stop tracking information: Task 2, Part 3 completed in 1 attempt[s].
/Users/madelaine/Desktop/csc428-master/js/task2a.js:153 MouseEvent {dataTransfer: null, which: 1, toElement: canvas#myCanvas.task2, fromElement: null, y: 435…}
/Users/madelaine/Desktop/csc428-master/js/task2a.js:155 Start tracking information: Task 2, Part 4, Attempt 1
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528173: x:393, y:435
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528185: x:394, y:435
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528204: x:397, y:435
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528221: x:400, y:435
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528236: x:407, y:429
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528255: x:413, y:421
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528273: x:418, y:406
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528292: x:424, y:382
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528309: x:435, y:351
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528324: x:464, y:316
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528340: x:491, y:284
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528360: x:514, y:255
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528374: x:535, y:225
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528392: x:554, y:196
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528411: x:568, y:177
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528426: x:577, y:168
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528442: x:582, y:162
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528459: x:585, y:154
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528476: x:587, y:148
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528494: x:589, y:141
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528510: x:592, y:133
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528529: x:596, y:129
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528544: x:598, y:127
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528561: x:599, y:127
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528578: x:600, y:127
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528596: x:602, y:126
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528612: x:604, y:126
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528631: x:606, y:126
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528649: x:608, y:126
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528673: x:609, y:126
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528690: x:609, y:127
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528707: x:609, y:129
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528724: x:609, y:131
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528743: x:608, y:133
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528758: x:607, y:135
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528775: x:606, y:137
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721528792: x:605, y:138
/Users/madelaine/Desktop/csc428-master/js/task2a.js:165 Stop tracking information: Task 2, Part 4 completed in 1 attempt[s].
/Users/madelaine/Desktop/csc428-master/js/task2a.js:153 MouseEvent {dataTransfer: null, which: 1, toElement: canvas#myCanvas.task2, fromElement: null, y: 133…}
/Users/madelaine/Desktop/csc428-master/js/task2a.js:155 Start tracking information: Task 2, Part 5, Attempt 1
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721529675: x:104, y:134
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721529690: x:105, y:134
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721529706: x:110, y:136
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721529725: x:131, y:144
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721529740: x:177, y:162
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721529757: x:239, y:182
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721529775: x:319, y:204
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721529791: x:376, y:222
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721529808: x:407, y:231
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721529826: x:429, y:236
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721529843: x:447, y:240
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721529862: x:461, y:240
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721529879: x:470, y:240
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721529894: x:474, y:240
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721529912: x:475, y:240
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721529951: x:476, y:240
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721529970: x:478, y:240
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721529988: x:482, y:240
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530005: x:490, y:240
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530022: x:497, y:240
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530043: x:503, y:240
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530059: x:507, y:240
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530072: x:516, y:239
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530090: x:528, y:237
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530106: x:545, y:237
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530124: x:561, y:237
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530140: x:570, y:237
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530160: x:574, y:237
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530178: x:579, y:237
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530194: x:584, y:239
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530210: x:591, y:242
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530227: x:596, y:244
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530243: x:599, y:245
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530262: x:600, y:247
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530279: x:601, y:247
/Users/madelaine/Desktop/csc428-master/js/task2a.js:181 Timestamp: 1426721530294: x:602, y:247
