Navigated to file:///Users/madelaine/Downloads/csc428-master-2/views/device1.html
js/task1a.js:94 Start tracking information: Task 1, Part 1, Attempt 1
js/task1a.js:102 Timestamp: 1427322625801: x:471, y:385
js/task1a.js:94 Start tracking information: Task 1, Part 2, Attempt 1
js/task1a.js:102 Timestamp: 1427322627185: x:231, y:215
js/task1a.js:94 Start tracking information: Task 1, Part 3, Attempt 1
js/task1a.js:102 Timestamp: 1427322628685: x:442, y:445
js/task1a.js:94 Start tracking information: Task 1, Part 4, Attempt 1
js/task1a.js:102 Timestamp: 1427322630072: x:207, y:200
2js/task1a.js:94 Start tracking information: Task 1, Part 5, Attempt 1
Navigated to file:///Users/madelaine/Downloads/csc428-master-2/views/task2a.html
js/task2a.js:153 MouseEvent {dataTransfer: null, which: 1, toElement: canvas#myCanvas.task2, fromElement: null, y: 251…}
js/task2a.js:155 Start tracking information: Task 2, Part 1, Attempt 1
js/task2a.js:181 Timestamp: 1427322633407: x:347, y:249
js/task2a.js:181 Timestamp: 1427322633410: x:347, y:249
js/task2a.js:181 Timestamp: 1427322633418: x:346, y:249
js/task2a.js:181 Timestamp: 1427322633426: x:346, y:249
js/task2a.js:181 Timestamp: 1427322633438: x:346, y:249
js/task2a.js:181 Timestamp: 1427322633441: x:346, y:248
js/task2a.js:181 Timestamp: 1427322633448: x:346, y:248
js/task2a.js:181 Timestamp: 1427322633457: x:346, y:248
js/task2a.js:181 Timestamp: 1427322633462: x:346, y:248
js/task2a.js:181 Timestamp: 1427322633471: x:346, y:248
js/task2a.js:181 Timestamp: 1427322633479: x:346, y:248
js/task2a.js:181 Timestamp: 1427322633503: x:346, y:248
js/task2a.js:181 Timestamp: 1427322633505: x:346, y:248
js/task2a.js:181 Timestamp: 1427322633511: x:346, y:248
js/task2a.js:181 Timestamp: 1427322633517: x:347, y:248
js/task2a.js:181 Timestamp: 1427322633526: x:348, y:248
js/task2a.js:181 Timestamp: 1427322633533: x:349, y:248
js/task2a.js:181 Timestamp: 1427322633541: x:350, y:248
js/task2a.js:181 Timestamp: 1427322633553: x:352, y:248
js/task2a.js:181 Timestamp: 1427322633557: x:354, y:248
js/task2a.js:181 Timestamp: 1427322633563: x:355, y:248
js/task2a.js:181 Timestamp: 1427322633573: x:357, y:248
js/task2a.js:181 Timestamp: 1427322633579: x:359, y:247
js/task2a.js:181 Timestamp: 1427322633587: x:361, y:247
js/task2a.js:181 Timestamp: 1427322633596: x:364, y:247
js/task2a.js:181 Timestamp: 1427322633602: x:366, y:247
js/task2a.js:181 Timestamp: 1427322633610: x:369, y:246
js/task2a.js:181 Timestamp: 1427322633622: x:372, y:246
js/task2a.js:181 Timestamp: 1427322633625: x:374, y:246
js/task2a.js:181 Timestamp: 1427322633635: x:377, y:246
js/task2a.js:181 Timestamp: 1427322633645: x:380, y:246
js/task2a.js:181 Timestamp: 1427322633649: x:383, y:246
js/task2a.js:181 Timestamp: 1427322633658: x:385, y:246
js/task2a.js:181 Timestamp: 1427322633663: x:388, y:246
js/task2a.js:181 Timestamp: 1427322633673: x:390, y:246
js/task2a.js:181 Timestamp: 1427322633678: x:392, y:246
js/task2a.js:181 Timestamp: 1427322633686: x:395, y:246
js/task2a.js:181 Timestamp: 1427322633695: x:397, y:246
js/task2a.js:181 Timestamp: 1427322633703: x:400, y:246
js/task2a.js:181 Timestamp: 1427322633712: x:402, y:246
js/task2a.js:181 Timestamp: 1427322633721: x:405, y:246
js/task2a.js:181 Timestamp: 1427322633724: x:408, y:245
js/task2a.js:181 Timestamp: 1427322633735: x:410, y:245
js/task2a.js:181 Timestamp: 1427322633740: x:413, y:244
js/task2a.js:181 Timestamp: 1427322633749: x:415, y:244
js/task2a.js:181 Timestamp: 1427322633755: x:417, y:243
js/task2a.js:181 Timestamp: 1427322633763: x:420, y:243
js/task2a.js:181 Timestamp: 1427322633801: x:428, y:243
js/task2a.js:181 Timestamp: 1427322633804: x:431, y:243
js/task2a.js:181 Timestamp: 1427322633809: x:433, y:244
