Navigated to file:///Users/madelaine/Downloads/csc428-master-2/views/device1.html
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 1, Attempt 1
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:102 Timestamp: 1427323185809: x:420, y:544
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 2, Attempt 1
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:102 Timestamp: 1427323187222: x:181, y:232
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 3, Attempt 1
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:102 Timestamp: 1427323188490: x:451, y:434
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 4, Attempt 1
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:102 Timestamp: 1427323190022: x:203, y:206
2/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 5, Attempt 1
Navigated to file:///Users/madelaine/Downloads/csc428-master-2/views/task2a.html
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:153 MouseEvent {dataTransfer: null, which: 1, toElement: canvas#myCanvas.task2, fromElement: null, y: 256…}
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:155 Start tracking information: Task 2, Part 1, Attempt 1
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195753: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195761: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195769: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195782: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195786: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195802: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195804: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195808: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195821: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195823: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195839: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195848: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195856: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195865: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195870: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195877: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195886: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195892: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195901: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195910: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195931: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195933: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195938: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195949: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195956: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195964: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195971: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195976: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195986: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323195993: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196002: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196009: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196015: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196023: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196034: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196038: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196048: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196055: x:352, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196065: x:352, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196070: x:353, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196078: x:354, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196086: x:354, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196092: x:355, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196102: x:356, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196107: x:357, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196116: x:358, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196126: x:359, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196132: x:360, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196139: x:361, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196157: x:363, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196161: x:364, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196169: x:365, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196176: x:366, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196185: x:367, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196193: x:369, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196200: x:370, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196207: x:372, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196215: x:373, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196225: x:375, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196233: x:376, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196238: x:378, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196246: x:379, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196255: x:380, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196260: x:382, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196272: x:383, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196276: x:385, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196286: x:386, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196292: x:388, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196305: x:389, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196307: x:391, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196317: x:392, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196324: x:394, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196334: x:395, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196337: x:396, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196346: x:398, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196354: x:399, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196361: x:400, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196371: x:402, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196376: x:403, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196385: x:404, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196392: x:405, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196399: x:407, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196408: x:408, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196416: x:409, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196423: x:410, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196433: x:411, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196439: x:412, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196445: x:413, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196454: x:415, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196460: x:416, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196469: x:417, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196476: x:418, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196487: x:419, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196492: x:420, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196499: x:420, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196507: x:421, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196516: x:422, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196522: x:423, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196529: x:424, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196538: x:425, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196545: x:426, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196554: x:427, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196560: x:428, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196569: x:429, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196576: x:430, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196584: x:431, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196593: x:433, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196600: x:434, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196606: x:435, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196616: x:436, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196622: x:437, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196629: x:438, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196637: x:439, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196645: x:441, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196654: x:442, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196661: x:443, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196667: x:444, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196675: x:446, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196684: x:447, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196690: x:449, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196700: x:451, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196706: x:452, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196717: x:454, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196722: x:455, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323196729: x:457, y:253
