Navigated to file:///Users/madelaine/Downloads/csc428-master-2/views/device1.html
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 1, Attempt 1
task1a.js:102 Timestamp: 1427323787538: x:396, y:389
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 2, Attempt 1
task1a.js:102 Timestamp: 1427323788565: x:197, y:184
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 3, Attempt 1
task1a.js:102 Timestamp: 1427323789624: x:449, y:452
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 4, Attempt 1
task1a.js:102 Timestamp: 1427323790821: x:214, y:201
task1a.js:94 Start tracking information: Task 1, Part 5, Attempt 1
2task1a.js:94 Start tracking information: Task 1, Part 5, Attempt 2
Navigated to file:///Users/madelaine/Downloads/csc428-master-2/views/task2a.html
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:153 MouseEvent {dataTransfer: null, which: 1, toElement: canvas#myCanvas.task2, fromElement: null, y: 252…}
task2a.js:155 Start tracking information: Task 2, Part 1, Attempt 1
task2a.js:181 Timestamp: 1427323793914: x:346, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323793926: x:346, y:252
task2a.js:181 Timestamp: 1427323793930: x:346, y:252
task2a.js:181 Timestamp: 1427323793942: x:346, y:252
task2a.js:181 Timestamp: 1427323793947: x:347, y:252
task2a.js:181 Timestamp: 1427323793953: x:348, y:251
task2a.js:181 Timestamp: 1427323793971: x:350, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323793982: x:351, y:251
task2a.js:181 Timestamp: 1427323793983: x:354, y:251
task2a.js:181 Timestamp: 1427323793986: x:357, y:250
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323793994: x:360, y:250
task2a.js:181 Timestamp: 1427323793999: x:363, y:250
task2a.js:181 Timestamp: 1427323794010: x:366, y:250
task2a.js:181 Timestamp: 1427323794016: x:370, y:250
task2a.js:181 Timestamp: 1427323794027: x:373, y:250
task2a.js:181 Timestamp: 1427323794034: x:376, y:250
task2a.js:181 Timestamp: 1427323794040: x:379, y:250
task2a.js:181 Timestamp: 1427323794049: x:382, y:250
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323794055: x:385, y:250
task2a.js:181 Timestamp: 1427323794061: x:388, y:250
task2a.js:181 Timestamp: 1427323794073: x:391, y:250
task2a.js:181 Timestamp: 1427323794078: x:394, y:250
task2a.js:181 Timestamp: 1427323794084: x:397, y:250
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323794093: x:400, y:250
task2a.js:181 Timestamp: 1427323794100: x:403, y:250
task2a.js:181 Timestamp: 1427323794109: x:407, y:251
task2a.js:181 Timestamp: 1427323794117: x:410, y:251
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323794124: x:413, y:252
task2a.js:181 Timestamp: 1427323794132: x:416, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323794140: x:419, y:252
task2a.js:181 Timestamp: 1427323794146: x:422, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323794155: x:424, y:253
task2a.js:181 Timestamp: 1427323794161: x:427, y:253
task2a.js:181 Timestamp: 1427323794170: x:430, y:253
task2a.js:181 Timestamp: 1427323794176: x:432, y:254
task2a.js:181 Timestamp: 1427323794183: x:435, y:254
task2a.js:181 Timestamp: 1427323794194: x:437, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323794203: x:439, y:255
task2a.js:181 Timestamp: 1427323794209: x:441, y:255
task2a.js:181 Timestamp: 1427323794216: x:443, y:256
task2a.js:181 Timestamp: 1427323794224: x:445, y:256
task2a.js:181 Timestamp: 1427323794235: x:446, y:256
task2a.js:181 Timestamp: 1427323794238: x:448, y:257
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323794250: x:449, y:257
task2a.js:181 Timestamp: 1427323794255: x:451, y:257
task2a.js:181 Timestamp: 1427323794262: x:452, y:257
task2a.js:181 Timestamp: 1427323794271: x:453, y:257
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323794277: x:454, y:258
task2a.js:181 Timestamp: 1427323794285: x:456, y:258
task2a.js:181 Timestamp: 1427323794294: x:457, y:258
task2a.js:181 Timestamp: 1427323794299: x:458, y:258
task2a.js:181 Timestamp: 1427323794306: x:460, y:258
task2a.js:181 Timestamp: 1427323794314: x:461, y:258
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323794322: x:462, y:258
task2a.js:181 Timestamp: 1427323794329: x:462, y:258
task2a.js:181 Timestamp: 1427323794337: x:463, y:258
task2a.js:181 Timestamp: 1427323794345: x:464, y:258
task2a.js:181 Timestamp: 1427323794353: x:465, y:258
task2a.js:181 Timestamp: 1427323794361: x:466, y:258
task2a.js:181 Timestamp: 1427323794369: x:468, y:258
task2a.js:181 Timestamp: 1427323794379: x:469, y:258
task2a.js:181 Timestamp: 1427323794383: x:471, y:258
task2a.js:181 Timestamp: 1427323794392: x:472, y:258
task2a.js:181 Timestamp: 1427323794399: x:474, y:258
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323794406: x:476, y:258
task2a.js:181 Timestamp: 1427323794414: x:478, y:258
task2a.js:181 Timestamp: 1427323794420: x:479, y:258
task2a.js:181 Timestamp: 1427323794429: x:480, y:257
task2a.js:181 Timestamp: 1427323794437: x:481, y:257
task2a.js:181 Timestamp: 1427323794444: x:482, y:257
task2a.js:181 Timestamp: 1427323794453: x:483, y:257
task2a.js:181 Timestamp: 1427323794462: x:483, y:257
